( jtime0001 "tadaima, chodo gozen ichi ji go fun desu.")
( jtime0002 "tadaima, gozen ni ji ju pun ni naru tokoro desu.")
( jtime0003 "tadaima, gozen san ji ju go fun sugi desu.")
( jtime0004 "tadaima, chodo gozen yo ji ni ju pun desu.")
( jtime0005 "tadaima, gozen go ji ni ju go fun ni naru tokoro desu.")
( jtime0006 "tadaima, gozen roku ji han sugi desu.")
( jtime0007 "tadaima, chodo gogo shichi ji san ju go fun desu.")
( jtime0008 "tadaima, gogo hachi ji yon ju pun ni naru tokoro desu.")
( jtime0009 "tadaima, gogo ku ji yon ju go fun sugi desu.")
( jtime0010 "tadaima, chodo gogo ju ji go ju pun desu.")
( jtime0011 "tadaima, gogo ju ichi ji go ju go fun ni naru tokoro desu.")
( jtime0012 "tadaima, gogo ju ni ji sugi desu.")
