( tel0001 " 1 0 3, 4 1 6, 7 1 2 0." )
( tel0002 " 2 1 4, 5 2 7, 8 2 3 1." )
( tel0003 " 3 2 5, 6 3 8, 9 3 4 2." )
( tel0004 " 4 3 6, 7 4 9, 0 4 5 3." )
( tel0005 " 5 4 7, 8 5 0, 1 5 6 4." )
( tel0006 " 6 5 8, 9 6 1, 2 6 7 5." )
( tel0007 " 7 6 9, 0 7 2, 3 7 8 6." )
( tel0008 " 8 7 0, 1 8 3, 4 8 9 7." )
( tel0009 " 9 8 1, 2 9 4, 5 9 0 8." )
( tel0010 " 0 9 2, 3 0 5, 6 0 1 9." )

( tel0011 " 1 3 3, 4 0 6, 7 7 3 0." )
( tel0012 " 2 4 4, 5 1 7, 8 8 4 1." )
( tel0013 " 3 5 5, 6 2 8, 9 9 5 2." )
( tel0014 " 4 6 6, 7 3 9, 0 0 6 3." )
( tel0015 " 5 7 7, 8 4 0, 1 1 7 4." )
( tel0016 " 6 8 8, 9 5 1, 2 2 8 5." )
( tel0017 " 7 9 9, 0 6 2, 3 3 9 6." )
( tel0018 " 8 0 0, 1 7 3, 4 4 0 7." )
( tel0019 " 9 1 1, 2 8 4, 5 5 1 8." )
( tel0020 " 0 2 2, 3 9 5, 6 6 2 9." )
( tel0021 "The number you require is 1 800, 2 6 8, 6 2 9 9.")
( tel0022 "The number you called is 4 1 2, 5 2 1, 1 1 8 5.")
( tel0023 "That is not a valid telephone number.")
( tel0024 "The number is 3 1 3, 5 5 2, 1 3 1 4.")
