( kdt_001 "She had your dark suit in greasy washwater all year.")
( kdt_002 "Don't ask me to carry an oily rag like that.")
( kdt_003 "This was easy for me.")
( kdt_004 "Jane may earn more money by working hard.")
( kdt_005 "She is thinner than I am.")
( kdt_006 "Bright sunshine shimmers on the ocean.")
( kdt_007 "Nothing is as offensive as innocence.")
( kdt_008 "Why yell or worry over silly items.")
( kdt_009 "Where were you while we were away.")
( kdt_010 "Are your grades higher or lower than nancy's.")
( kdt_011 "He will allow a rare lie.")
( kdt_012 "Will robin wear a yellow lilly.")
( kdt_013 "Swing your arm as high as you can.")
( kdt_014 "Before thursday's exam review every formula.")
( kdt_015 "The museum hires musicians every evening.")
( kdt_016 "A roll of wire lay near the wall.")
( kdt_017 "Carl lives in a lively home.")
( kdt_018 "Alimony harms a divorced man's wealth.")
( kdt_019 "Aluminum silverwear can be flimsy.")
( kdt_020 "She wore warm fleecy woollen overalls.")
( kdt_021 "Alfalfa is healthy for you.")
( kdt_022 "When all else fails use force.")
( kdt_023 "Those musicians harmonize marvelously.")
( kdt_024 "Although always alone we survive.")
( kdt_025 "Only lawyers love millionaires.")
( kdt_026 "Most young rise early every morning.")
( kdt_027 "Did dad do academic bidding.")
( kdt_028 "Beg that guard for one gallon of gas.")
( kdt_029 "Help greg to pick a peck of potatoes.")
( kdt_030 "Get a calico cat to keep.")
( kdt_031 "A good attitude is unbeatable.")
( kdt_032 "It's fun to roast marshmallows on a gas burner.")
( kdt_033 "Coconut cream pie makes a nice dessert.")
( kdt_034 "Don't do charlie's dirty dishes.")
( kdt_035 "Help celebrate your brother's success.")
( kdt_036 "Only the most accomplished artists obtain popularity.")
( kdt_037 "Critical equipment needs proper maintenance.")
( kdt_038 "Young people participate in athletic activities.")
( kdt_039 "Barb's gold bracelet was a graduation present.")
( kdt_040 "Stimulating discussions keep students' attention.")
( kdt_041 "Etiquette mandates compliance with existing regulations.")
( kdt_042 "Biblical scholars argue history.")
( kdt_043 "Elderly people are often excluded.")
( kdt_044 "Basketball can be an entertaining sport.")
( kdt_045 "Addition and subtraction are learned skills.")
( kdt_046 "That pickpocket was caught redhanded.")
( kdt_047 "Mom strongly dislikes appetizers.")
( kdt_048 "Grandmother outgrew her upbringing in petticoats.")
( kdt_049 "At twighlight on the twelfth day we'll have chablis.")
( kdt_050 "Catastrophic economic cutbacks neglect the poor.")
( kdt_051 "Ambidextrous pickpockets accomplish more.")
( kdt_052 "Her classical performance gained critical acclaim.")
( kdt_053 "Even a simple vocabulary contains symbols.")
( kdt_054 "The eastern coast is a place for pure pleasure and excitement.")
( kdt_055 "The lack of heat compounded the tenants grievances.")
( kdt_056 "Academic aptitude guarantees your diploma.")
( kdt_057 "The prowler wore a ski mask for disguise.")
( kdt_058 "We experience distress and frustration obtaining our degrees.")
( kdt_059 "The singer's finger had a splinter.")
( kdt_060 "The legislature met to judge the state of public education.")
( kdt_061 "Chocolate and roses never fail as a romantic gift.")
( kdt_062 "Any contributions would be greatly appreciated.")
( kdt_063 "Continental drift is a geological theory.")
( kdt_064 "Regular attendance is seldom required.")
( kdt_065 "Challenge each general's intelligence.")
( kdt_066 "We got drenched from the uninterrupted rain.")
( kdt_067 "Last years gas shortage caused steep price increases.")
( kdt_068 "Upgrade your status to reflect your wealth.")
( kdt_069 "Eat your raisins outdoors on the porch step." )
( kdt_070 "Did you eat yet.")
( kdt_071 "Porcupines resemble sea urchins.")
( kdt_072 "Spring street is straight ahead.")
( kdt_073 "Cliff's display was misplaced on the screen.")
( kdt_074 "An official deadline cannot be postponed.")
( kdt_075 "Fill that canteen with fresh spring water.")
( kdt_076 "Gently place jim's foam sculpture on the box.")
( kdt_077 "Bagpipes and bongos are musical instruments.")
( kdt_078 "Doctors prescribe drugs too freely.")
( kdt_079 "Will you please describe the idiotic predicament.")
( kdt_080 "It's illegal to postdate a check.")
( kdt_081 "It's impossible to deal with bureaucracy.")
( kdt_082 "Good service should be rewarded by big tips.")
( kdt_083 "My instructions desperately need updating.")
( kdt_084 "Cooperation along with understanding alleviate dispute.")
( kdt_085 "Cement is measured in cubic yards.")
( kdt_086 "Hispanic costumes are quite colorful.")
( kdt_087 "Primitive tribes have an upbeat attitude.")
( kdt_088 "Flying standby can be practical if you want to save money.")
( kdt_089 "It's hard to tell an original from a forgery.")
( kdt_090 "The Thinker is a famous sculpture.")
( kdt_091 "The misprint provoked an immediate disclaimer.")
( kdt_092 "A large household needs lots of appliances.")
( kdt_093 "Cut a small corner off each edge.")
( kdt_094 "Youngsters love common candy as treats.")
( kdt_095 "Iguanas and alligators are tropical reptiles.")
( kdt_096 "Masquerade parties tax one's imagination.")
( kdt_097 "Penguins live near the icy antartic.")
( kdt_098 "Guess the question from the answer.")
( kdt_099 "Medieval society was based on hierarchies.")
( kdt_100 "Project development was proceeding too slowly.")
( kdt_101 "Kindergarten children decorate their classrooms for all holidays.")
( kdt_102 "Special task forces rescue hostages from kidnappers.")
( kdt_103 "Call an ambulance for medical assistance.")
( kdt_104 "He stole a dime from a beggar.")
( kdt_105 "You must explicitly delete files.")
( kdt_106 "A huge tapestry hung in her hallway.")
( kdt_107 "Birthday parties have cupcakes and ice cream.")
( kdt_108 "His scalp was blistered from today's hot sun.")
( kdt_109 "She slipped and sprained her ankle on the steep slope.")
( kdt_110 "The best way to learn is to solve extra problems.")
( kdt_111 "His sudden departure shocked the cast.")
( kdt_112 "Tugboats are capable of hauling huge loads.")
( kdt_113 "A muscular abdomen is good for your back.")
( kdt_114 "The cartoon features a muskrat and a tadpole.")
( kdt_115 "The emblem depicts the Acropolis all aglow.")
( kdt_116 "Clasp the screw in your left hand.")
( kdt_117 "The mango and the papaya are in a bowl.")
( kdt_118 "Combine all the ingredients in a large bowl.")
( kdt_119 "The misquote was retracted with an apology.")
( kdt_120 "The coyote bobcat and hyena are wild animals.")
( kdt_121 "Tresspassing is forbidden and subject to penalty.")
( kdt_122 "Encyclopedias seldom present anecdotal evidence.")
( kdt_123 "A screwdriver is made from vodka and orange juice.")
( kdt_124 "Objects made of pewter are beautiful.")
( kdt_125 "Westchester is a county in New York.")
( kdt_126 "Artificial intelligence is for real.")
( kdt_127 "The emperor had a mean temper.")
( kdt_128 "Lots of foreign movies have subtitles.")
( kdt_129 "Angora cats are furrier than siamese.")
( kdt_130 "He ate four extra eggs for breakfast.")
( kdt_131 "We plan to build a new beverage plant.")
( kdt_132 "Publicity and notoriety go hand in hand.")
( kdt_133 "Pizzerias are convenient for a quick lunch.")
( kdt_134 "December and January are nice months to spend in Miami.")
